# GENERATED by tools/export_world_interface_model.py from world_interface.bbmodel.
# name u v probe_x probe_y -- probe is a texel inside the island's painted north face.
# canvas 512x256 png 2048x1024 density 4
bone_0.4x0.2x0.2 303 54 1213 217
bone_0.4x0.6x0.6 140 54 563 219
bone_0.4x0.8x0.6 133 54 535 220
bone_0.4x1x0.6 453 50 1815 204
bone_0.4x2.4x0.4 373 45 1494 186
bone_0.4x2x0.4 159 50 638 206
bone_0.6x0.2x0.4 297 54 1191 217
bone_0.6x0.6x0.6 136 54 547 219
bone_0.6x0.6x0.8 121 54 488 220
bone_0.6x0.8x0.6 129 54 519 220
bone_0.6x0.8x0.8 441 50 1768 204
bone_0.6x1.2x0.6 432 50 1731 204
bone_0.6x1.2x0.8 396 50 1588 205
bone_0.6x1.4x0.6 400 50 1603 205
bone_0.6x1.6x0.6 185 50 743 205
bone_0.6x1.8x0.6 155 50 623 206
bone_0.6x1x0.6 449 50 1799 204
bone_0.6x1x0.8 420 50 1684 205
bone_0.6x2.2x0.6 343 45 1375 186
bone_0.6x2.4x0.6 336 45 1347 187
bone_0.6x2x0.6 394 45 1579 186
bone_0.8x0.2x0.2 300 54 1202 217
bone_0.8x0.2x0.4 293 54 1175 217
bone_0.8x0.6x0.8 111 54 448 220
bone_0.8x0.8x0.6 125 54 504 220
bone_0.8x1.2x0.6 428 50 1716 204
bone_0.8x1.2x0.8 371 50 1488 205
bone_0.8x1.4x0.8 180 50 724 206
bone_0.8x1.6x0.8 125 50 504 206
bone_0.8x1.8x0.8 389 45 1560 186
bone_0.8x1x0.6 445 50 1784 204
bone_0.8x1x0.8 415 50 1664 205
bone_0.8x2.2x0.8 315 45 1264 187
bone_0.8x2.4x0.8 133 45 536 188
bone_0.8x2x0.8 368 45 1476 187
bone_1.2x0.2x0.4 279 54 1120 217
bone_1.2x0.8x1.2 335 50 1347 206
bone_1.2x1.2x1.2 144 50 583 207
bone_1.2x1.4x1.2 405 45 1627 187
bone_1.2x1.6x1.2 362 45 1455 188
bone_1.2x1.8x1.2 279 45 1123 188
bone_1.2x1x1.2 169 50 683 207
bone_1.2x2.2x1.2 77 45 315 189
bone_1.2x2.4x1.2 370 39 1487 165
bone_1.2x2.6x1.2 322 39 1295 166
bone_1.2x2x1.2 122 45 495 189
bone_1.4x0.2x0.4 274 54 1100 217
bone_1.4x0.6x1.4 310 50 1248 207
bone_1.4x0.8x1.4 162 50 656 207
bone_1.4x1.2x1.4 398 45 1600 188
bone_1.4x1.4x1.4 355 45 1428 188
bone_1.4x1.6x1.4 235 45 948 189
bone_1.4x1.8x1.4 115 45 468 189
bone_1.4x1x1.4 130 50 528 208
bone_1.4x2.2x1.4 345 39 1388 166
bone_1.4x2.4x1.4 315 39 1268 166
bone_1.4x2x1.4 83 45 340 190
bone_1.6x0.2x0.4 269 54 1081 217
bone_1.6x1.2x1.6 347 45 1397 188
bone_1.6x1.4x1.6 213 45 861 189
bone_1.6x1.8x1.6 69 45 285 190
bone_1.6x1x1.6 376 45 1513 188
bone_1.6x2.2x1.6 294 39 1185 166
bone_1.6x2.4x1.6 236 39 953 167
bone_1.6x2.6x1.6 53 39 221 167
bone_1.6x2x1.6 337 39 1357 166
bone_1.8x0.2x0.6 257 54 1034 218
bone_1x0.2x0.4 289 54 1160 217
bone_1x0.8x1 410 50 1646 205
bone_1x1.2x1 175 50 706 206
bone_1x1.4x1 150 50 606 207
bone_1x1.6x1 384 45 1542 187
bone_1x1x1 341 50 1370 206
bone_1x2.2x1 128 45 518 188
bone_1x2.4x1 90 45 366 189
bone_1x2.6x1 352 39 1414 165
bone_1x2x1 285 45 1146 188
bone_2.4x0.8x2.4 95 45 394 191
bone_2.6x0.8x2.6 57 45 243 192
bone_2.8x0.8x2.8 357 39 1444 168
bone_3.2x1.2x3.2 25 39 119 171
bone_3.2x1x3.2 39 39 175 171
bone_3.4x1.2x3.4 313 32 1272 144
bone_3.4x1.4x3.4 298 32 1212 144
bone_3.4x1x3.4 10 39 60 172
bone_3.6x1.2x3.6 282 32 1149 144
bone_3.6x1.4x3.6 150 32 621 145
bone_3.8x1.2x3.8 133 32 554 145
bone_3.8x1.4x3.8 116 32 486 146
bone_3x0.8x3 302 39 1226 169
bone_3x12x1 48 0 202 28
bone_4.2x1.4x4.2 448 23 1817 111
bone_4.4x1.4x4.4 429 23 1742 112
bone_4.4x1.6x4.4 361 23 1470 113
bone_4.6x1.6x4.6 257 23 1055 113
bone_4.8x1.6x4.8 221 23 912 114
core_0.8x4.4x0.4 278 32 1115 138
